name,matches,wins,losses,total
Bell,51,38,13,25
Chao,18,13,5,8
Nun,14,11,3,8
Rch,25,16,9,7
Biew,12,9,3,6
Army,5,4,1,3
Ning,3,3,0,3
Tar,16,9,7,2
Tom,27,14,13,1
Mam,7,4,3,1
Ying,3,2,1,1
Toon,1,1,0,1
Moss,1,1,0,1
J,1,1,0,1
Jim,16,8,8,0
Tee,14,7,7,0
Evelina,8,4,4,0
One,2,1,1,0
Hui,2,1,1,0
Kard,2,1,1,0
Bow,2,1,1,0
Max,2,1,1,0
A,2,1,1,0
Sasha,2,1,1,0
Duke,13,6,7,-1
Thor,7,3,4,-1
Ake,5,2,3,-1
Keng,5,2,3,-1
Kai,3,1,2,-1
Dum,3,1,2,-1
Fei,1,0,1,-1
Poom,1,0,1,-1
Ken,1,0,1,-1
Jaii,34,16,18,-2
Kok,24,11,13,-2
Daeng,18,8,10,-2
Herwig,16,7,9,-2
Nok,10,4,6,-2
Nut,23,10,13,-3
Getar,4,0,4,-4
Addy,4,0,4,-4
John,17,6,11,-5
Romain,15,5,10,-5
Nos,22,8,14,-6
Karn,14,4,10,-6
Mon,27,10,17,-7
Champ,11,1,10,-9
